,question,expected_answer,chatbot_answer,page,chatbot_page,cos_sim_gpt35,rouge_1_f1_gpt35,rouge_2_f1_gpt35,rouge_l_f1_gpt35,page_match
121,When should first aid wear gloves?,"Gloves should be worn during first aid when providing care, especially if there is a possibility of coming into contact with another person's blood or other potentially infectious material. Gloves should also be worn when handling items or surfaces soiled with blood or other potentially infectious materials.","First aid should wear gloves when providing care, especially if there is a possibility of coming into contact with another person's blood or other potentially infectious material. Gloves should also be worn when handling items or surfaces soiled with blood or other potentially infectious materials. It's important to limit touching other surfaces while wearing gloves and to remove soiled gloves and replace them with a clean pair before touching other surfaces or equipment in the first aid kit.",25,"['25', '24']",0.96058285,0.7555555508024691,0.6545454499173554,0.733333328580247,1
122,What should be done if the weight becomes tough?,"If a choking person becomes unresponsive, they should be lowered to the ground safely and CPR should be immediately started, beginning with chest compressions.","Maintaining a healthy weight requires exercise and a balanced diet. If weight becomes tough to manage, it's important to focus on regular physical activity and making healthy food choices.",52,"['55', '131']",0.06835586,0.217391299357278,0.0,0.217391299357278,0
123,What does hypothermia involve?,A hypothermia wrap is a method to minimize heat loss in a person with hypothermia. It consists of layers of insulation and heat-reflecting material.,"Hypothermia involves the body's core temperature dropping to 35°C (95°F) or lower, and becomes life-threatening when it drops below 28°C (82.4°F). It can be caused by sweating in cold weather, cold, wet, windy conditions, cold-water immersion, dehydration, and certain medications. Preventing hypothermia involves wearing appropriate clothing, keeping clothing dry, consuming high-energy foods and drinks, taking frequent breaks from the cold, and being careful around cold water. Symptoms of hypothermia include shivering, decreased physical function, lack of coordination or speech, confusion, impaired judgment, unresponsiveness, slowed breathing, and stiff body. Applying a hypothermia wrap and seeking protection from the wind can help minimize heat loss for a person with hypothermia.",153,"['151', '153', '141']",0.63990617,0.23214285409598218,0.09230768939526636,0.23214285409598218,1
124,Is venous blood easier to manage than arterial blood?,"Yes, bleeding from veins (venous bleeding) is easier to control than arterial bleeding.","Yes, venous blood is easier to manage than arterial blood. Venous bleeding is easier to control and flows from the wound at a steady rate without spurting, unlike arterial bleeding.",60,"['60', '62']",0.88569707,0.49999999555555563,0.25641025214990143,0.44444444000000005,1
125,What causes heat stroke?,Heat exhaustion can progress to heat stroke if not treated promptly. Heat stroke is a life-threatening condition that requires immediate medical attention.,"Heat stroke is caused by the body's temperature-regulating mechanisms being overwhelmed, leading to a rise in core temperature. This can occur after long periods of strenuous activity in a hot environment, especially if it is humid or lacking in air circulation. Additionally, factors such as high humidity, age (babies, children, and the elderly are less able to sweat and adjust to changes in temperature), body size and mass (larger bodies with more fat tissue retain heat and warm up more quickly), and chronic illnesses can contribute to the risk of heat stroke.",144,"['143', '144']",0.72695005,0.17204300737657538,0.05357142552455375,0.17204300737657538,1
126,Do children use safety equipment when playing sports?,"Children should wear all safety equipment that is recommended for the activity. “Toy” protective gear (e.g., plastic helmets) is for imaginative play only.","Yes, children should use safety equipment when playing sports. This includes wearing helmets approved by the Canadian Standards Association (CSA), Snell Memorial Foundation, or American National Standards Institute (ANSI) for sports that require them. It is also important for children to wear all safety equipment recommended for the activity, such as plastic helmets for imaginative play.",198,"['198', '200', '201']",0.83011913,0.3768115897584541,0.17948717522682459,0.31884057526570053,1
127,How should you get the attention of a person with hearing loss?,Get the person's attention before speaking by lightly touching the person's shoulder or gently waving your hand.,Get the person's attention before speaking by lightly touching their shoulder or gently waving your hand.,42,"['42', '43']",0.9769212,0.967741930489074,0.8666666616666667,0.967741930489074,1
128,What is paraplegia?,Paraplegia is paralysis that affects both legs and the lower trunk.,Paraplegia is paralysis that affects both legs and the lower trunk.,112,"['112', '41']",1.0,0.999999995,0.999999995,0.999999995,1
129,"When should you call EMS/9-1-1 for a bone, muscle, or joint injury?","If the injury seems severe or the person is in a significant amount of pain, you should call EMS/9-1-1.","You should call EMS/9-1-1 for a bone, muscle, or joint injury if the injury involves the head and/or spine, if there is a problem with the ABCs (airway, breathing, circulation), if you suspect there may be multiple injuries, if the area below the injury is pale, blue, or cold to the touch, if the area below the injury is numb, if the person has an altered level of responsiveness, if a broken bone is protruding through the skin, or if it is not possible to safely or comfortably move the person to a vehicle for transport to a healthcare facility.",123,"['20', '124', '123']",0.73123324,0.27848100913956103,0.07547169529369893,0.15189873065854836,1
130,What obstacles should the explosion present?,"Barrier devices, such as a pocket mask or face shield","The explosion may present obstacles such as pressure or heat injuries, injuries from flying debris, trauma from being thrown by the blast, and injuries or illnesses caused by hazardous materials being dispersed.",12,"['110', '160']",0.16939062,0.16216215821767724,0.04999999651250024,0.16216215821767724,0
131,What should you do if the person's condition deteriorates or does not improve within 10 minutes?,Call EMS/9-1-1 and administer more sugar if it is still safe to do so.,"If the person's condition deteriorates or does not improve within 10 minutes, you should call EMS/9-1-1 and administer more sugar if it is still safe to do so.",133,"['38', '133', '37']",0.7958647,0.6190476146031747,0.5999999956125001,0.6190476146031747,1
132,What if someone happens to see the caregiver due to the plant?,"If the rash is severe or on a sensitive part of the body, such as the face or groin.","If someone happens to see the caregiver due to the plant, they should encourage the caregiver to seek medical attention. If the sap of the plant has come into contact with the caregiver's skin and they are then exposed to the sun's UV radiation, they may experience severe inflammation, intense burning, and weeping blisters. It's important for the caregiver to protect the affected area from sunlight, seek medical attention, and take precautions such as keeping the area covered, wearing sunglasses, and applying sunscreen to protect the area from further damage. If the sap gets into the caregiver's eyes, they should rinse them thoroughly with water and seek medical attention. If the reaction is severe or on a sensitive part of the body, such as the face or groin, the caregiver should see a healthcare provider. If the person is having trouble breathing or if the sap is on their eyes, face, or groin, EMS/9-1-1 should be called.",165,"['16', '165', '166']",0.24878298,0.26666666408344675,0.1986754945888338,0.26666666408344675,1
133,"What are the four main types of bone, muscle, and joint injuries?","The four basic types of bone, muscle, and joint injuries are dislocation, sprain, strain, and fracture.","The four main types of bone, muscle, and joint injuries are dislocation, sprain, strain, and fracture.",122,"['122', '123']",0.99140865,0.9333333283333335,0.8666666616666667,0.9333333283333335,1
134,What are some common types of wounds?,"Common types of wounds include bruises, scrapes, and small cuts.","Common types of wounds include bruises, scrapes, small cuts, puncture wounds, and scalp injuries.",90,"['90', '167', '92']",0.9577503,0.7499999951388889,0.5454545406198348,0.6666666618055556,1
135,When should I call EMS/9-1-1 due to accidental plant damage?,Only if the person experiences a severe allergic reaction or is having trouble breathing.,"You should call EMS/9-1-1 if there is a danger to you or others, or if the ill or injured person has any of the following conditions:
- Unresponsiveness or an altered mental state
- Difficulty breathing or no signs of breathing
- Seizures
- Injuries to the head, neck, or back
- Blood in the vomit or urine
If the situation involves any of the following:
- Hazardous materials",165,"['20', '162']",0.42358047,0.2295081931846278,0.025316452946643465,0.16393442269282457,0
136,What should be done next to the sling applied?,"After applying the sling, a binder should be applied.","Next, you should apply a binder as described in the instructions. After that, recheck the circulation to ensure that the sling is not too tight and is properly supporting the arm. If there are any signs of poor circulation, such as bluish or cold fingers, numbness, or tingling, you should loosen the bandages. If circulation does not improve after loosening the bandages, it is important to call EMS/9-1-1 and get an AED immediately.",127,"['127', '126']",0.5022512,0.15151514915977962,0.025316453875981543,0.15151514915977962,1
137,How should children dress for fever?,"Children with fevers should be dressed lightly because they may feel warm. If they get too cold or start to shiver, cover them until the skin feels warm when you touch it.","Children with fevers should be dressed lightly because they may feel warm. If they get too cold or start to shiver, cover them until the skin feels warm when you touch it.",193,"['193', '180']",0.99999994,0.999999995,0.999999995,0.999999995,1
138,What are the signs and symptoms of infection from a tick bite?,"Signs of infection from a tick bite include redness, warmth, pain, and fever. If the area becomes infected or the person develops a fever, they should seek medical attention.","Signs and symptoms of infection from a tick bite can include redness, warmth, pain at the bite site, and the development of a fever. It's important to monitor the bite for several days and seek medical attention if any of these symptoms occur.",173,"['173', '174']",0.84478426,0.5333333283833334,0.2608695603948751,0.5333333283833334,1
139,What are the signs and symptoms of miscarriage?,"The signs and symptoms of a miscarriage include anxiety and apprehensiveness, vaginal bleeding (which may be minor or profuse), and cramp-like pain that is similar to labor or menstruation.","The signs and symptoms of miscarriage include anxiety and apprehensiveness, vaginal bleeding (which may be minor or profuse), and cramp-like pain that is similar to labor or menstruation.",139,"['139', '138']",0.996999,0.9803921518646674,0.9454545404561984,0.9803921518646674,1
140,What are the signs and symptoms of life-threatening external bleeding?,"The signs and symptoms of life-threatening external bleeding include: blood spurting or flowing freely from a wound, blood that fails to clot after taking measures to control bleeding, and large amounts of blood loss.","The signs and symptoms of life-threatening external bleeding include:
- Blood spurting or flowing freely from a wound
- Blood that fails to clot after you have taken all measures to control bleeding
- Large amounts of blood loss",60,"['60', '62']",0.98672754,0.8064516079240375,0.6285714235877552,0.8064516079240375,1
141,What should you avoid doing if someone has an eye injury?,Avoid touching the eye or putting pressure on or around it.,"If someone has an eye injury, you should avoid trying to remove a foreign object from the eye by rubbing or applying pressure. Additionally, do not attempt to flush the eye with any substances other than clean, running water. It is also important to avoid touching or putting pressure on the injured eye and to refrain from attempting to remove any impaled objects near the eye.",102,"['103', '104']",0.7175356,0.2372881327779374,0.11111110871913585,0.2372881327779374,0
142,Is the ear contagious?,"No, an earache is not contagious.","No, ear injuries are not contagious.",189,"['104', '189', '187']",0.81226844,0.4999999950000001,0.19999999500000015,0.4999999950000001,1
143,What is a snake strike?,A snake's striking range is about two-thirds of its length forward and one-third upward.,"A snake strike refers to a snake's ability to lunge forward and bite its target, typically within two-thirds of its body length forward and one-third upward. If you are within striking distance, it is important to slowly back out of range to avoid being bitten.",175,"['174', '175']",0.6780951,0.5098039175855441,0.2142857107206633,0.47058823131103433,1
144,When may Good Samaritan laws not protect a First Aider?,"Good Samaritan laws may not protect a First Aider if their actions are grossly negligent or reckless, or if they abandon the person after starting care.","Good Samaritan laws may not protect a First Aider if the First Aider's actions are grossly negligent or reckless, or if the First Aider abandons the person after starting care.",16,"['16', '15']",0.96558535,0.8936170162788593,0.7843137204921184,0.8936170162788593,1
145,Where should you know the location of the first aid kit in your device?,Automated external defibrillator (AED),You should know the location of the first aid kit and automated external defibrillator (AED) in your workplace.,12,"['12', '18']",0.77522236,0.2857142826303855,0.19999999745000002,0.2857142826303855,1
146,What do you do when applying topical medication?,Protect yourself by using an applicator or wearing disposable gloves.,"When applying topical medication, protect yourself by using an applicator or by wearing disposable gloves.",194,"['194', '84']",0.8241223,0.7499999951388889,0.6086956474102081,0.7499999951388889,1
147,When should you call EMS/9-1-1 for sunburns?,"If at least one of the following conditions is true and you are alone, call EMS/9-1-1 yourself, get an AED, and then return to care for the person: The burns make it difficult for the person to breathe. The person is in a great deal of pain or becomes unresponsive. The burns were caused by chemicals, explosions, or electricity. The burns involve a large amount of blistering or broken skin, or the burns cover the face, neck, hands, genitals, or a larger surface area. Always call EMS/9-1-1 for a full thickness burn, regardless of size.","You should call EMS/9-1-1 for sunburns if the burns make it difficult for the person to breathe, if the person is in a great deal of pain or becomes unresponsive, if the burns were caused by chemicals, explosions, or electricity, or if the burns involve a large amount of blistering or broken skin, or cover the face, neck, hands, genitals, or a larger surface area. If at least one of these conditions is true and you are alone, you should call EMS/9-1-1 yourself and get an AED, then return to care for the person. If it is a superficial burn, you should not need to call EMS/9-1-1 unless the person is in a great deal of pain or becomes unresponsive. Always call EMS/9-1-1 for a full thickness burn, regardless of size.",95,"['20', '95']",0.8591863,0.865248221962678,0.7142857093190338,0.865248221962678,1
148,What should you do if using a face mask?,Ensure it is fitted tightly over the mouth and nose.,"If using a face mask, you should ensure that it creates a tight seal over the person's nose and mouth and contains a filter or valve to protect you from coming into contact with bodily fluids and exhaled air. Additionally, if there is an exposure incident, such as infectious splashes into the mouth, nose, or eyes, you should immediately decontaminate the exposed area and report the incident to EMS personnel or your healthcare provider. If the exposure incident occurs in a workplace setting, you should also notify your supervisor and follow your company's exposure control plan for reporting the incident and receiving post-exposure follow-up care.",68,"['12', '26', '27']",0.5536641,0.16279069561925366,0.03636363486115709,0.13953488166576528,0
149,What should a person do if they feel thirsty?,"If you feel thirsty, you are already dehydrated, so develop the habit of drinking fluids regularly rather than waiting for the warning signs of dehydration to appear.","If you feel thirsty, slowly sip a cool electrolyte-replacement beverage such as a commercial sports drink, coconut water, fruit juice, or milk. If a drink with electrolytes is not available, drink water. If you are experiencing any other symptoms such as nausea, dizziness, or fainting, or if you are unable to drink fluids, call EMS/9-1-1 for assistance.",143,"['131', '124', '145']",0.68454486,0.2058823483737025,0.10126581836885135,0.17647058366782017,0
150,What is the second step in determining a person's condition?,B = Check Breathing,"The second step in determining a person's condition is checking the quality of the person’s vital signs, including their level of responsiveness, breathing, and skin.",31,"['37', '87', '30']",0.40264195,0.0,0.0,0.0,0
151,What should be done if an exposure incident occurs in a workplace setting?,"If an exposure incident occurs in a workplace setting, it should be reported to the supervisor and the company's exposure control plan should be followed for reporting the incident and receiving post-exposure follow-up care.","If an exposure incident occurs in a workplace setting, the immediate steps to be taken include decontaminating the exposed area if possible, reporting the incident to EMS personnel or the healthcare provider, and notifying the supervisor to follow the company's exposure control plan for reporting the incident and receiving post-exposure follow-up care. It's also important to be aware of any additional requirements dictated by regulations and legislation that apply to the specific workplace.",27,"['27', '161']",0.7829852,0.5679012301234568,0.43564356002744825,0.5432098720987655,1
152,What should you connect a bike trailer with?,A flexible joint to prevent tipping over.,"Connect the trailer with a flexible joint so that it will not tip over, even if the bike does.",197,"['197', '200']",0.6775816,0.1599999959680001,0.0833333295833335,0.1599999959680001,1
153,How can breathing problems be identified?,A breathing problem can be identified by watching and listening to the person's breathing and by asking the person how they feel.,"Breathing problems can be identified by watching and listening to the person's breathing and by asking the person how he or she feels. Signs and symptoms of respiratory distress include shortness of breath, trouble speaking in complete sentences, wheezing, abnormal breathing patterns, cool or moist skin, bluish or ashen skin, feelings of fear, dizziness, and light-headedness. If a person is having trouble breathing, it is important to provide care immediately and call for emergency medical assistance if necessary.",80,"['80', '83']",0.73008794,0.3499999965125001,0.32653060887755103,0.3499999965125001,1
154,What should you do in cold water?,"If you are in open water, get into a boat, raft, or other mode of marine transportation if available. If you have fallen through the ice, place your arms on the surface of the ice, kick your legs until your body is horizontal to the water’s surface, and then kick and pull forward until you are on the ice. Roll away from the hole before standing up.","If you are in cold water, you should try to self-rescue by getting into a boat, raft, or other mode of marine transportation if available. If you have fallen through the ice, place your arms on the surface of the ice, kick your legs until your body is horizontal to the water’s surface, and then kick and pull forward until you are on the ice. Roll away from the hole before standing up. If self-rescue is not possible, increase your survival time by getting out of the water as much as possible using a capsized boat or other floating object as a flotation device. If you are wearing a personal flotation device (PFD), adopt the Heat Escape Lessening Position (HELP) by pressing your arms against your armpits, placing your forearms across your chest, and squeezing your thighs together while raising your knees toward your chest. If several people are together, adopt the HUDDLE position by facing each other, squeezing thighs together, forming a circle, and hugging each other. Each person should place one arm above and one arm below the arms of those adjacent and pull the sides of the chests together. Sandwich any children or persons without a PFD inside the HUDDLE.",155,"['152', '151', '155']",0.82222056,0.5549132906879616,0.467741931733871,0.5549132906879616,1
155,What should you do if you have fallen through the ice and are unable to exit by yourself?,"Stop struggling, place your arms on the ice and let them freeze in place to prevent drowning.","If you have fallen through the ice and are unable to exit by yourself, stop struggling. Place your arms on the ice and let them freeze in place. This will prevent you from drowning if the cold exposure causes incapacitation or unresponsiveness. If someone else is present, they can use the ""Reach"" method to rescue you by reaching out to you with a rigid object like a ladder, paddle, or tree branch. If you are rescued from cold water, you should be treated for hypothermia.",156,"['156', '202']",0.7608696,0.3456790091754306,0.20618556425550005,0.3456790091754306,1
156,What information should you try to find out if someone has overdosed on drugs?,"Try to find out from others at the scene what substance or substances the person may have taken, and then communicate that information to EMS personnel or the Poison Control Centre worker.","Try to find out from others at the scene what substance or substances the person may have taken, and then communicate that information to EMS personnel or the Poison Control Centre worker.",168,"['168', '169', '162']",1.0,0.999999995,0.999999995,0.999999995,1
157,What are some ways to prevent electrical burns?,"Keep electrical appliances away from water. If an electrical cord is frayed, fix it or dispose of it. If there are young children in the building, cover electrical outlets. Before approaching a person with a suspected electrical burn, make sure that trained personnel turn off the electrical current.","To prevent electrical burns, you should keep electrical appliances away from water, fix or dispose of frayed electrical cords, cover electrical outlets if there are young children present, and ensure that trained personnel turn off the electrical current before approaching a person with a suspected electrical burn.",94,"['94', '95']",0.8553066,0.6419753036427375,0.4946236509145566,0.46913579746989786,1
158,How can motorists co-operate with cyclists?,"When motorists can see a cyclist, it is easier for them to co-operate with the cyclist.","Motorists can co-operate with cyclists by being aware of their presence on the road, giving them enough space when passing, and being patient and respectful when sharing the road with cyclists.",200,"['200', '199']",0.75673544,0.24390243426531835,0.04545454096074425,0.19512194646044032,1
159,What can be done to relieve itching and blistering from a rash caused by a plant?,"Apply a cream or ointment designed to reduce itching and blistering, such as calamine. Take an oral antihistamine to help relieve itching.","To relieve itching and blistering from a rash caused by a plant, you can apply a cream or ointment designed to reduce itching and blistering, such as calamine. You can also suggest taking an oral antihistamine to help relieve itching. If the rash is severe or on a sensitive part of the body, such as the face or groin, it's important to see a healthcare provider. Remember to wash the affected area with a degreasing soap immediately if you suspect contact with a rash-causing plant.",165,"['165', '185']",0.76352364,0.44444444072549927,0.35643564027056174,0.44444444072549927,1
160,How should wooden toys be assembled?,Wooden toys should be glued or screwed together instead of nailed.,Wooden toys should be glued or screwed together instead of nailed.,198,"['198', '196']",1.0,0.999999995,0.999999995,0.999999995,1
161,Can children with head lice go to school or daycare?,Children may return to school or child care after the first treatment.,"Children with head lice should not go to school or daycare until they have been treated with the medicated shampoo recommended by a doctor and all nits have been removed. Additionally, it's important to disinfect clothing, bedding, and other items to prevent the spread of lice. Once the first treatment has been completed, children can return to school or daycare.",186,"['186', '184']",0.44514778,0.27586206568370986,0.1515151487373738,0.20689654844233057,1
162,What is naloxone used for?,Naloxone is used to quickly reverse the effects of an opioid drug overdose.,"Naloxone is used to quickly reverse the effects of an opioid drug overdose, specifically counteracting central nervous system depression and respiratory depression. It is used to treat opioid overdoses and can be supplied as a nasal spray or an injectable solution.",169,"['169', '57']",0.8876753,0.5106382938705297,0.439999996352,0.5106382938705297,1
163,What would you do if you were alone and someone was experiencing total suffocation?,"If you are alone, immediately begin providing care for complete choking. Shout for help to try to attract the attention of a bystander, but do not delay care by calling EMS/9-1-1 yourself.","If you are alone and someone is experiencing total suffocation, you should immediately call EMS/9-1-1 for help. While waiting for help to arrive, you should perform CPR, starting with chest compressions. If the person becomes unresponsive, lower them to the ground as safely as possible and begin CPR. If you are unable or unwilling to give rescue breaths, compression-only CPR is acceptable. After each set of compressions, check the person's mouth for any visible objects and remove them if possible. It's important to continue giving CPR until help arrives.",48,"['32', '52', '69']",0.624501,0.23404254892485293,0.06956521345330835,0.21276595318017213,0
164,What are the four mechanisms of injury resulting from blasts?,"1. Pressure or heat injuries from the blast itself.
2. Injuries from flying debris (shrapnel).
3. Trauma from being thrown by the blast.
4. Injuries or illnesses caused by hazardous material being dispersed by the blast.","The four mechanisms of injury resulting from blasts are:
1. Pressure or heat injuries from the blast itself.
2. Injuries from flying debris (shrapnel).
3. Trauma from being thrown by the blast.
4. Injuries or illnesses caused by hazardous material being dispersed by the blast.",110,"['98', '110', '107']",0.73196,0.8620689606123663,0.8767123238431226,0.8620689606123663,1
165,What would you do if you lost control and wanted to shake your child or baby?,"If you feel like you might lose control, stop! Take a break, never shake. Place the child in a safe place and take a few deep breaths. Then try again to soothe the baby.","If you feel like you might lose control and want to shake your child or baby, it's important to stop and take a break. Place the child in a safe place and take a few deep breaths to calm down. It's never appropriate to shake a child or baby, so it's crucial to find ways to manage your feelings of anger and frustration without causing harm. If you need help, reach out to a trusted friend, family member, or professional for support.",119,"['119', '50']",0.7778121,0.48275861617122473,0.3333333290895062,0.48275861617122473,1
166,When should someone seek medical attention after experiencing partial suffocation?,"A person who has experienced partial choking should seek medical attention if they experience any kind of respiratory distress after the incident. They should also be monitored for several hours to ensure there is no damage. If there is no sign of injury in the first few hours, the person is probably fine.","A person who has experienced partial suffocation should seek medical attention if he or she experiences any kind of respiratory distress after the incident. The person should be monitored for several hours after the incident to ensure that there is no damage: if there is no sign of injury in the first few hours, the person is probably fine.",52,"['52', '152']",0.776468,0.8314606691579346,0.6923076873150887,0.8314606691579346,1
167,"Should you apply heat to a muscle, bone, or joint injury to speed healing?","No, applying heat is not the best treatment for an acute muscle, bone, or joint injury. Heat causes blood vessels to dilate, increasing swelling. Cold, on the other hand, causes blood vessels to constrict, reducing blood flow and helping to reduce swelling. Applying cold also slows nerve impulses and helps reduce pain.","No, you should not apply heat to a muscle, bone, or joint injury to speed healing. Instead, you should use the RICE method, which involves rest, immobilization, cooling, and elevation to help reduce swelling and pain.",124,"['124', '90']",0.54090846,0.3835616389491462,0.12195121465794191,0.3561643786751736,1
168,What are other signs and symptoms of Lyme disease?,"Fatigue, headache, fever or chills, swollen lymph nodes, numbness or tingling, muscle spasms or weakness, joint and muscle pain.","Other signs and symptoms of Lyme disease include fatigue, headache, fever or chills, swollen lymph nodes, numbness or tingling, muscle spasms or weakness, and joint and muscle pain similar to the flu.",174,"['173', '174']",0.6427442,0.6976744139318551,0.6530612198417326,0.6976744139318551,1
169,What should you do if the object cannot be dislodged easily?,Leave it in place for a medical professional to remove.,"If the object cannot be dislodged easily, leave it in place for a medical professional to remove. Prevent the person from attempting to remove the object and from blowing his or her nose.",101,"['105', '101', '103']",0.70093715,0.4864864825420015,0.41025640670611446,0.4864864825420015,1
170,How to treat torn skin?,Treat any torn skin as an open wound and seek medical attention.,"To treat torn skin, first apply direct pressure if there is significant bleeding. Then, rinse the wound with clean, running tap water for 5 minutes if possible. If available, apply an antibiotic ointment or cream to the wound, ensuring the person is not sensitive to any antibiotics. Cover the wound with a sterile non-stick dressing and/or bandage, and advise the person to watch for signs of infection over the next few days. If there are signs of a more serious injury, call EMS/9-1-1.",154,"['91', '90']",0.6599848,0.13157894470914133,0.0,0.10526315523545714,0
171,What should you keep handy in your home and car?,First aid kits.,"In your home and car, you should keep a first aid kit handy. Make sure everyone in the family knows where they are and what is in them. It's also important to have important information about yourself and your family in a handy place, including emergency telephone numbers, medical conditions, allergies, and prescriptions. Additionally, consider installing smoke and carbon monoxide detectors and keeping relevant medical information easily accessible.",13,"['12', '13']",0.6181863,0.03508771830101572,0.0,0.03508771830101572,1
172,Who is most at risk of hypothermia?,"People with smaller body types, lower overall body weights, and lower body-fat content are more likely to experience hypothermia. Young children and the elderly are also at higher risk.","Young children and the elderly are most at risk of hypothermia. People with smaller body types, lower overall body weights, and lower body-fat content are also much more likely to experience hypothermia.",151,"['151', '54', '153']",0.9064073,0.9230769180843196,0.7796610119620799,0.9230769180843196,1
173,How can nosebleeds be prevented?,"Use a humidifier if the air indoors is dry, wear protective athletic equipment when participating in sports that could cause injuries to the nose, practice gentle nose blowing, teach children not to pick their noses","Nosebleeds can be prevented by using a humidifier if the air indoors is dry, wearing protective athletic equipment during sports that could cause injuries to the nose, practicing gentle nose blowing, and teaching children not to pick their noses.",100,"['100', '30', '82']",0.90142334,0.7428571378734694,0.638888883904321,0.7428571378734694,1
174,What should you not do with your fingers in the woman's vagina?,Do not place your fingers in the woman’s vagina for any reason. This can introduce pathogens that can cause an infection.,Do not insert your fingers into the woman's vagina for any reason.,139,"['139', '25', '23']",0.74760365,0.5624999953125002,0.32258064058272634,0.5624999953125002,1
175,Do you have any questions about purchasing or using a used child car seat?,"When buying or using a pre-owned child car seat, you should check that it has instructions and all necessary hardware, has not been in a collision, has a CMVSS sticker and is less than 10 years old, has no discoloured (stress) marks or cracks, and has no signs of wear or tears on the harness.","Yes, I have some questions about purchasing or using a used child car seat.",199,"['199', '197']",0.6134784,0.17241378944114158,0.09090908774563831,0.17241378944114158,1
176,Why is it important to keep a record of the medications you take?,It will be useful to EMS personnel.,"It is important to keep a record of the medications you take in case of an emergency or if you need to seek medical help. This information will be useful to EMS personnel and can help them provide appropriate care. Additionally, keeping a record of medications helps to prevent miscommunication and errors, and it allows for tracking any reactions or effects not usually experienced.",36,"['37', '36', '194']",0.43133384,0.2413793082223544,0.14925372971263087,0.2413793082223544,1
177,What would you do if a child is given a non-prescription drug?,Ensure you have written permission from a parent or guardian for each medication that is to be given.,Ensure that you have written permission from a parent or guardian for each non-prescription medication that is to be given.,193,"['193', '194']",0.9608939,0.9729729679766254,0.8333333283487654,0.9729729679766254,1
178,What would you do if someone felt snow blindness?,"Place the person in a darker environment, if possible, or cover their eyes. Apply a cool, damp cloth to reduce pain and burning. If the person's vision is affected, seek medical attention.","If someone is experiencing snow blindness, you should place them in a darker environment, if possible, or cover their eyes. Apply a cool, damp cloth to reduce pain and burning. If the person's vision is affected, seek medical attention.",154,"['154', '150']",0.7299653,0.8484848435261708,0.8115941979500105,0.8484848435261708,1
179,What are the four basic steps of a First Aider?,"The four basic steps of a First Aider's role are: 1. Recognize the emergency. 2. Protect yourself, the ill or injured person, and bystanders. 3. Access help (e.g., call EMS/9-1-1). 4. Act according to your skills, knowledge, and comfort level.","The four basic steps of a First Aider are:
1. Recognize the emergency.
2. Protect yourself, the ill or injured person, and bystanders.
3. Access help (e.g., call EMS/9-1-1).
4. Act according to your skills, knowledge, and comfort level.",18,"['18', '29']",0.98265076,0.9620253114564974,0.9382715999390336,0.9620253114564974,1
180,When should I call EMS/9-1-1 if I have a skin injury?,"You should call EMS/9-1-1 and get an AED if you are not sure how serious the scalp injury is or if you feel a dip, a soft area, or pieces of bone.","You should call EMS/9-1-1 if the skin injury makes it difficult for you to breathe, if you are in a great deal of pain or become unresponsive, if the injury was caused by chemicals, explosions, or electricity, or if the injury involves a large amount of blistering or broken skin, or covers the face, neck, hands, genitals, or a larger surface area. If at least one of these conditions is true and you are alone, you should call EMS/9-1-1 yourself and then return to care for the injury. If it is a superficial burn, you may not need to call EMS/9-1-1 unless you are in a great deal of pain or become unresponsive. Always call EMS/9-1-1 for a full thickness burn, regardless of size.",93,"['20', '95']",0.69186306,0.30303029897357414,0.08888888543209889,0.26262625856953375,0
181,Does amputation always cause heavy bleeding?,"No, bleeding may or may not be severe.",Amputation may or may not cause severe bleeding.,106,"['92', '106', '58']",0.75133896,0.7142857092857143,0.4285714235714286,0.5714285664285715,1
182,Where should medication be stored in a child care setting?,Medication should be stored out of the reach of children.,Medication should be stored out of the reach of children in a child care setting.,194,"['194', '184', '180']",0.9436404,0.782608690888469,0.782608690888469,0.782608690888469,1
183,How high should the mattress be to support the top of the partition's enclosure?,The height from the mattress support to the top rail must be at least 66 cm (26 in.) when the support is in its lowest position.,The height from the mattress support to the top rail must be at least 66 cm (26 in.) when the support is in its lowest position.,196,"['196', '70']",0.99999976,0.999999995,0.999999995,0.999999995,1
184,What should you do after calling EMS/9-1-1 and getting the AED?,Continue to provide care.,"After calling EMS/9-1-1 and getting the AED, you should follow the AED's prompts to analyze the heart rhythm. If the AED prompts you to do so, deliver the shock and then immediately resume CPR. Continue to follow the AED's automated prompts and check the heart rhythm every 2 minutes. If you notice an obvious sign of life, stop CPR but leave the AED turned on and the pads in place on the person's chest. Continue to follow the AED's prompts until EMS personnel arrive.",67,"['74', '20', '76']",0.2910357,0.07142857010204084,0.026315788715373982,0.07142857010204084,0
185,What should I do if the AED pad gets wet?,"If the AED pads are wet, it is recommended to move the person into a different environment, if possible, before attempting defibrillation again.","Provide a dry environment if possible, but do not delay defibrillation to do so. If the pads are wet, move the person into a different environment, if possible, before attempting defibrillation again.",77,"['77', '78']",0.83092856,0.7499999950347224,0.5769230720414202,0.7083333283680555,1
